fajl,godina,mjesec_kraja,zemlja,dolasci,nocenja,struktura_%,prosjecan_boravak
TUR_02_2019_12.pdf,2019,12,Belgija,7432.0,17391.0,0.7,2.3
TUR_02_2019_12.pdf,2019,12,Bugarska,8019.0,14641.0,0.6,1.8
TUR_02_2019_12.pdf,2019,12,Crna Gora,18532.0,39721.0,1.6,2.1
TUR_02_2019_12.pdf,2019,12,Češka,9033.0,16859.0,0.7,1.9
TUR_02_2019_12.pdf,2019,12,Danska,6922.0,16602.0,0.7,2.4
TUR_02_2019_12.pdf,2019,12,Estonija,565.0,1313.0,0.1,2.3
TUR_02_2019_12.pdf,2019,12,Finska,3596.0,8083.0,0.3,2.2
TUR_02_2019_12.pdf,2019,12,Francuska,20234.0,55484.0,2.3,2.7
TUR_02_2019_12.pdf,2019,12,Grčka,6356.0,12603.0,0.5,2.0
TUR_02_2019_12.pdf,2019,12,Nizozemska/Holandija,17000.0,41138.0,1.7,2.4
TUR_02_2019_12.pdf,2019,12,Hrvatska,138293.0,315085.0,13.0,2.3
TUR_02_2019_12.pdf,2019,12,Irska,4813.0,15261.0,0.6,3.2
TUR_02_2019_12.pdf,2019,12,Island,478.0,1422.0,0.1,3.0
TUR_02_2019_12.pdf,2019,12,Italija,47841.0,118753.0,4.9,2.5
TUR_02_2019_12.pdf,2019,12,Kipar,825.0,1158.0,0.0,1.4
TUR_02_2019_12.pdf,2019,12,Latvija,802.0,1996.0,0.1,2.5
TUR_02_2019_12.pdf,2019,12,Litvanija,1384.0,2782.0,0.1,2.0
TUR_02_2019_12.pdf,2019,12,Luksemburg,830.0,1782.0,0.1,2.1
TUR_02_2019_12.pdf,2019,12,Mađarska,18082.0,32654.0,1.3,1.8
TUR_02_2019_12.pdf,2019,12,Malta,472.0,2197.0,0.1,4.7
TUR_02_2019_12.pdf,2019,12,Norveška,4947.0,11257.0,0.5,2.3
TUR_02_2019_12.pdf,2019,12,Njemačka,56782.0,121435.0,5.0,2.1
TUR_02_2019_12.pdf,2019,12,Poljska,37497.0,88504.0,3.7,2.4
TUR_02_2019_12.pdf,2019,12,Portugal,3803.0,5432.0,0.2,1.4
TUR_02_2019_12.pdf,2019,12,Rumunija,6240.0,12984.0,0.5,2.1
TUR_02_2019_12.pdf,2019,12,Rusija,6628.0,13625.0,0.6,2.1
TUR_02_2019_12.pdf,2019,12,Sjeverna Makedonija 1 ),10308.0,20042.0,0.8,1.9
TUR_02_2019_12.pdf,2019,12,Slovačka,4340.0,9212.0,0.4,2.1
TUR_02_2019_12.pdf,2019,12,Slovenija,67930.0,128690.0,5.3,1.9
TUR_02_2019_12.pdf,2019,12,Srbija,102316.0,203527.0,8.4,2.0
TUR_02_2019_12.pdf,2019,12,Španija,17417.0,30322.0,1.3,1.7
TUR_02_2019_12.pdf,2019,12,Švicarska,12560.0,27126.0,1.1,2.2
TUR_02_2019_12.pdf,2019,12,Švedska,13763.0,30695.0,1.3,2.2
TUR_02_2019_12.pdf,2019,12,Turska,70988.0,112035.0,4.6,1.6
TUR_02_2019_12.pdf,2019,12,Ujedinjeno Kraljevstvo,15082.0,35686.0,1.5,2.4
TUR_02_2019_12.pdf,2019,12,Ukrajina,2090.0,5505.0,0.2,2.6
TUR_02_2019_12.pdf,2019,12,Egipat,1262.0,3520.0,0.1,2.8
TUR_02_2019_12.pdf,2019,12,Južnoafrička Republika,655.0,1402.0,0.1,2.1
TUR_02_2019_12.pdf,2019,12,Kanada,7675.0,15538.0,0.6,2.0
TUR_02_2019_12.pdf,2019,12,Brazil,5731.0,11165.0,0.5,1.9
TUR_02_2019_12.pdf,2019,12,Bahrein,7702.0,21716.0,0.9,2.8
TUR_02_2019_12.pdf,2019,12,Indija,2450.0,5216.0,0.2,2.1
TUR_02_2019_12.pdf,2019,12,Iran,572.0,1745.0,0.1,3.1
TUR_02_2019_12.pdf,2019,12,Izrael,6711.0,15843.0,0.7,2.4
TUR_02_2019_12.pdf,2019,12,Japan,10608.0,14068.0,0.6,1.3
TUR_02_2019_12.pdf,2019,12,Južna Koreja,41337.0,47132.0,1.9,1.1
TUR_02_2019_12.pdf,2019,12,Katar,4573.0,13185.0,0.5,2.9
TUR_02_2019_12.pdf,2019,12,Kina,102758.0,122002.0,5.0,1.2
TUR_02_2019_12.pdf,2019,12,Kuvajt,8340.0,28750.0,1.2,3.4
TUR_02_2019_12.pdf,2019,12,Malezija,18922.0,24062.0,1.0,1.3
TUR_02_2019_12.pdf,2019,12,Oman,9869.0,23877.0,1.0,2.4
TUR_02_2019_12.pdf,2019,12,Saudijska Arabija,65853.0,158036.0,6.5,2.4
TUR_02_2019_12.pdf,2019,12,UAE,32256.0,94058.0,3.9,2.9
TUR_02_2019_12.pdf,2019,12,Australija,9846.0,19580.0,0.8,2.0
TUR_02_2019_12.pdf,2019,12,Novi Zeland,1303.0,2503.0,0.1,1.9
TUR_02_2019_12.pdf,2019,12,Hoteli i sličan smještaj,1550917.0,3113228.0,,
TUR_02_2019_12.pdf,2019,12,Odmarališta i slični objekti za kraći odmor,60912.0,131873.0,,
TUR_02_2019_12.pdf,2019,12,Kampovi i prostori za kampiranje,17007.0,28217.0,,
TUR_02_2019_12.pdf,2019,12,Ostali smještaj,11881.0,98004.0,,
TUR_02_2019_12.pdf,2019,12,Hoteli i sličan smještaj,411270.0,831180.0,,
TUR_02_2019_12.pdf,2019,12,Odmarališta i slični objekti za kraći odmor,19648.0,34360.0,,
TUR_02_2019_12.pdf,2019,12,Kampovi i prostori za kampiranje,2061.0,2994.0,,
TUR_02_2019_12.pdf,2019,12,Ostali smještaj,9679.0,83683.0,,
TUR_02_2019_12.pdf,2019,12,Hoteli i sličan smještaj,1139647.0,2282048.0,,
TUR_02_2019_12.pdf,2019,12,Odmarališta i slični objekti za kraći odmor,41264.0,97513.0,,
TUR_02_2019_12.pdf,2019,12,Kampovi i prostori za kampiranje,14946.0,25223.0,,
TUR_02_2019_12.pdf,2019,12,Ostali smještaj,2202.0,14321.0,,
TUR_02_2020_12.pdf,2020,12,Albanija,1066.0,1930.0,0.4,1.8
TUR_02_2020_12.pdf,2020,12,Austrija,4407.0,9212.0,1.9,2.1
TUR_02_2020_12.pdf,2020,12,Belgija,686.0,1740.0,0.4,2.5
TUR_02_2020_12.pdf,2020,12,Bugarska,948.0,2045.0,0.4,2.2
TUR_02_2020_12.pdf,2020,12,Crna Gora,6521.0,14835.0,3.0,2.3
TUR_02_2020_12.pdf,2020,12,Češka,1163.0,1960.0,0.4,1.7
TUR_02_2020_12.pdf,2020,12,Danska,584.0,1647.0,0.3,2.8
TUR_02_2020_12.pdf,2020,12,Estonija,64.0,231.0,0.0,3.6
TUR_02_2020_12.pdf,2020,12,Finska,167.0,478.0,0.1,2.9
TUR_02_2020_12.pdf,2020,12,Francuska,1605.0,3680.0,0.8,2.3
TUR_02_2020_12.pdf,2020,12,Grčka,516.0,1406.0,0.3,2.7
TUR_02_2020_12.pdf,2020,12,Nizozemska/Holandija,2031.0,4644.0,1.0,2.3
TUR_02_2020_12.pdf,2020,12,Hrvatska,43854.0,118719.0,24.3,2.7
TUR_02_2020_12.pdf,2020,12,Irska,380.0,952.0,0.2,2.5
TUR_02_2020_12.pdf,2020,12,Island,22.0,52.0,0.0,2.4
TUR_02_2020_12.pdf,2020,12,Italija,3551.0,8737.0,1.8,2.5
TUR_02_2020_12.pdf,2020,12,Kipar,72.0,232.0,0.0,3.2
TUR_02_2020_12.pdf,2020,12,Latvija,61.0,258.0,0.1,4.2
TUR_02_2020_12.pdf,2020,12,Litvanija,547.0,798.0,0.2,1.5
TUR_02_2020_12.pdf,2020,12,Luksemburg,286.0,724.0,0.1,2.5
TUR_02_2020_12.pdf,2020,12,Mađarska,1340.0,4601.0,0.9,3.4
TUR_02_2020_12.pdf,2020,12,Malta,15.0,45.0,0.0,3.0
TUR_02_2020_12.pdf,2020,12,Norveška,407.0,1084.0,0.2,2.7
TUR_02_2020_12.pdf,2020,12,Njemačka,6058.0,14914.0,3.1,2.5
TUR_02_2020_12.pdf,2020,12,Poljska,1092.0,2913.0,0.6,2.7
TUR_02_2020_12.pdf,2020,12,Portugal,231.0,538.0,0.1,2.3
TUR_02_2020_12.pdf,2020,12,Rumunija,654.0,1986.0,0.4,3.0
TUR_02_2020_12.pdf,2020,12,Rusija,1270.0,3418.0,0.7,2.7
TUR_02_2020_12.pdf,2020,12,Sjeverna Makedonija 1 ),2221.0,5532.0,1.1,2.5
TUR_02_2020_12.pdf,2020,12,Slovačka,474.0,1273.0,0.3,2.7
TUR_02_2020_12.pdf,2020,12,Slovenija,9651.0,23137.0,4.7,2.4
TUR_02_2020_12.pdf,2020,12,Srbija,54705.0,135870.0,27.9,2.5
TUR_02_2020_12.pdf,2020,12,Španija,804.0,1783.0,0.4,2.2
TUR_02_2020_12.pdf,2020,12,Švicarska,2065.0,5033.0,1.0,2.4
TUR_02_2020_12.pdf,2020,12,Švedska,1833.0,4467.0,0.9,2.4
TUR_02_2020_12.pdf,2020,12,Turska,7773.0,17556.0,3.6,2.3
TUR_02_2020_12.pdf,2020,12,Ujedinjeno Kraljevstvo,1707.0,4292.0,0.9,2.5
TUR_02_2020_12.pdf,2020,12,Ukrajina,374.0,959.0,0.2,2.6
TUR_02_2020_12.pdf,2020,12,Egipat,214.0,631.0,0.1,2.9
TUR_02_2020_12.pdf,2020,12,Južnoafrička Republika,37.0,186.0,0.0,5.0
TUR_02_2020_12.pdf,2020,12,Kanada,408.0,939.0,0.2,2.3
TUR_02_2020_12.pdf,2020,12,Brazil,310.0,882.0,0.2,2.8
TUR_02_2020_12.pdf,2020,12,Bahrein,645.0,1797.0,0.4,2.8
TUR_02_2020_12.pdf,2020,12,Indija,177.0,434.0,0.1,2.5
TUR_02_2020_12.pdf,2020,12,Iran,135.0,1279.0,0.3,9.5
TUR_02_2020_12.pdf,2020,12,Izrael,365.0,769.0,0.2,2.1
TUR_02_2020_12.pdf,2020,12,Japan,447.0,1206.0,0.2,2.7
TUR_02_2020_12.pdf,2020,12,Južna Koreja,1541.0,1661.0,0.3,1.1
TUR_02_2020_12.pdf,2020,12,Katar,647.0,1768.0,0.4,2.7
TUR_02_2020_12.pdf,2020,12,Kina,4897.0,7983.0,1.6,1.6
TUR_02_2020_12.pdf,2020,12,Kuvajt,1626.0,6997.0,1.4,4.3
TUR_02_2020_12.pdf,2020,12,Malezija,869.0,1416.0,0.3,1.6
TUR_02_2020_12.pdf,2020,12,Oman,738.0,1839.0,0.4,2.5
TUR_02_2020_12.pdf,2020,12,Saudijska Arabija,1946.0,5902.0,1.2,3.0
TUR_02_2020_12.pdf,2020,12,UAE,10452.0,27637.0,5.7,2.6
TUR_02_2020_12.pdf,2020,12,Australija,467.0,1437.0,0.3,3.1
TUR_02_2020_12.pdf,2020,12,Novi Zeland,92.0,151.0,0.0,1.6
TUR_02_2020_12.pdf,2020,12,Hoteli i sličan smještaj,474270.0,1145081.0,,
TUR_02_2020_12.pdf,2020,12,Odmarališta i slični objekti za kraći odmor,15207.0,36029.0,,
TUR_02_2020_12.pdf,2020,12,Kampovi i prostori za kampiranje,4112.0,7440.0,,
TUR_02_2020_12.pdf,2020,12,Ostali smještaj,4501.0,47421.0,,
TUR_02_2020_12.pdf,2020,12,Hoteli i sličan smještaj,285619.0,677663.0,,
TUR_02_2020_12.pdf,2020,12,Odmarališta i slični objekti za kraći odmor,10804.0,23111.0,,
TUR_02_2020_12.pdf,2020,12,Kampovi i prostori za kampiranje,1458.0,3708.0,,
TUR_02_2020_12.pdf,2020,12,Ostali smještaj,4152.0,43888.0,,
TUR_02_2020_12.pdf,2020,12,Hoteli i sličan smještaj,188651.0,467418.0,,
TUR_02_2020_12.pdf,2020,12,Odmarališta i slični objekti za kraći odmor,4403.0,12918.0,,
TUR_02_2020_12.pdf,2020,12,Kampovi i prostori za kampiranje,2654.0,3732.0,,
TUR_02_2020_12.pdf,2020,12,Ostali smještaj,349.0,3533.0,,
TUR_02_2021_12.pdf,2021,12,Albanija,2176.0,4572.0,0.4,2.1
TUR_02_2021_12.pdf,2021,12,Austrija,16750.0,34527.0,2.9,2.1
TUR_02_2021_12.pdf,2021,12,Belgija,3432.0,8028.0,0.7,2.3
TUR_02_2021_12.pdf,2021,12,Bugarska,1684.0,3897.0,0.3,2.3
TUR_02_2021_12.pdf,2021,12,Crna Gora,15168.0,32807.0,2.8,2.2
TUR_02_2021_12.pdf,2021,12,Češka,3355.0,7096.0,0.6,2.1
TUR_02_2021_12.pdf,2021,12,Danska,2610.0,6291.0,0.5,2.4
TUR_02_2021_12.pdf,2021,12,Estonija,356.0,756.0,0.1,2.1
TUR_02_2021_12.pdf,2021,12,Finska,624.0,2675.0,0.2,4.3
TUR_02_2021_12.pdf,2021,12,Francuska,8501.0,23687.0,2.0,2.8
TUR_02_2021_12.pdf,2021,12,Grčka,1503.0,3726.0,0.3,2.5
TUR_02_2021_12.pdf,2021,12,Nizozemska/Holandija,8438.0,20200.0,1.7,2.4
TUR_02_2021_12.pdf,2021,12,Hrvatska,57217.0,128511.0,10.8,2.2
TUR_02_2021_12.pdf,2021,12,Irska,883.0,2159.0,0.2,2.4
TUR_02_2021_12.pdf,2021,12,Island,62.0,154.0,0.0,2.5
TUR_02_2021_12.pdf,2021,12,Italija,9004.0,20829.0,1.8,2.3
TUR_02_2021_12.pdf,2021,12,Kipar,167.0,502.0,0.0,3.0
TUR_02_2021_12.pdf,2021,12,Latvija,203.0,587.0,0.0,2.9
TUR_02_2021_12.pdf,2021,12,Litvanija,366.0,827.0,0.1,2.3
TUR_02_2021_12.pdf,2021,12,Luksemburg,868.0,2042.0,0.2,2.4
TUR_02_2021_12.pdf,2021,12,Mađarska,5093.0,12302.0,1.0,2.4
TUR_02_2021_12.pdf,2021,12,Malta,47.0,159.0,0.0,3.4
TUR_02_2021_12.pdf,2021,12,Norveška,1202.0,2911.0,0.2,2.4
TUR_02_2021_12.pdf,2021,12,Njemačka,25816.0,63217.0,5.3,2.4
TUR_02_2021_12.pdf,2021,12,Poljska,7672.0,16047.0,1.4,2.1
TUR_02_2021_12.pdf,2021,12,Portugal,1051.0,2001.0,0.2,1.9
TUR_02_2021_12.pdf,2021,12,Rumunija,2636.0,5560.0,0.5,2.1
TUR_02_2021_12.pdf,2021,12,Rusija,3135.0,6657.0,0.6,2.1
TUR_02_2021_12.pdf,2021,12,Sjeverna Makedonija,3765.0,8758.0,0.7,2.3
TUR_02_2021_12.pdf,2021,12,Slovačka,1621.0,3518.0,0.3,2.2
TUR_02_2021_12.pdf,2021,12,Slovenija,23339.0,45810.0,3.9,2.0
TUR_02_2021_12.pdf,2021,12,Srbija,90880.0,189430.0,15.9,2.1
TUR_02_2021_12.pdf,2021,12,Španija,3188.0,6223.0,0.5,2.0
TUR_02_2021_12.pdf,2021,12,Švicarska,7984.0,17938.0,1.5,2.2
TUR_02_2021_12.pdf,2021,12,Švedska,6700.0,17126.0,1.4,2.6
TUR_02_2021_12.pdf,2021,12,Turska,22335.0,46598.0,3.9,2.1
TUR_02_2021_12.pdf,2021,12,Ujedinjeno Kraljevstvo,4512.0,11047.0,0.9,2.4
TUR_02_2021_12.pdf,2021,12,Ukrajina,1878.0,3727.0,0.3,2.0
TUR_02_2021_12.pdf,2021,12,Egipat,647.0,1831.0,0.2,2.8
TUR_02_2021_12.pdf,2021,12,Južnoafrička Republika,134.0,273.0,0.0,2.0
TUR_02_2021_12.pdf,2021,12,Kanada,1474.0,4079.0,0.3,2.8
TUR_02_2021_12.pdf,2021,12,Sjedinjene Amerićke Države,13929.0,29696.0,2.5,2.1
TUR_02_2021_12.pdf,2021,12,Brazil,480.0,1026.0,0.1,2.1
TUR_02_2021_12.pdf,2021,12,Indija,871.0,2619.0,0.2,3.0
TUR_02_2021_12.pdf,2021,12,Iran,155.0,706.0,0.1,4.6
TUR_02_2021_12.pdf,2021,12,Japan,298.0,818.0,0.1,2.7
TUR_02_2021_12.pdf,2021,12,Južna Koreja,155.0,383.0,0.0,2.5
TUR_02_2021_12.pdf,2021,12,Katar,3403.0,11082.0,0.9,3.3
TUR_02_2021_12.pdf,2021,12,Kina,1945.0,6609.0,0.6,3.4
TUR_02_2021_12.pdf,2021,12,Kuvajt,11089.0,43929.0,3.7,4.0
TUR_02_2021_12.pdf,2021,12,Malezija,346.0,556.0,0.0,1.6
TUR_02_2021_12.pdf,2021,12,UAE,49063.0,148574.0,12.5,3.0
TUR_02_2021_12.pdf,2021,12,Australija,628.0,1308.0,0.1,2.1
TUR_02_2021_12.pdf,2021,12,Novi Zeland,71.0,161.0,0.0,2.3
TUR_02_2021_12.pdf,2021,12,Hoteli i sličan smještaj,918847.0,2075874.0,,
TUR_02_2021_12.pdf,2021,12,Odmarališta i slični objekti za kraći odmor,24650.0,61704.0,,
TUR_02_2021_12.pdf,2021,12,Kampovi i prostori za kampiranje,10248.0,17087.0,,
TUR_02_2021_12.pdf,2021,12,Ostali smještaj,6638.0,76255.0,,
